,8_n,8_p,8_l,9_n,9_p,9_l
3496,CCND2,0.007235777947407546,2.5431564,CCND2,0.007235777947407546,-2.5431564
3497,LRRC45,0.007261547192449122,4.1801167,LRRC45,0.007261547192449122,-4.1801167
3498,ING5,0.007273026602145384,1.3158392,ING5,0.007273026602145384,-1.3158392
3499,GPBP1L1,0.007273026602145384,0.59651196,GPBP1L1,0.007273026602145384,-0.59651196
3500,GNL2,0.007273026602145384,0.88852847,GNL2,0.007273026602145384,-0.88852847
3501,MRPL46,0.007307562600436312,0.6459741,MRPL46,0.007307562600436312,-0.6459741
3502,SSR2,0.0073133328842781556,0.4906026,SSR2,0.0073133328842781556,-0.4906026
3503,LBH,0.007333561085672431,0.24664736,LBH,0.007333561085672431,-0.24664736
3504,TMEM259,0.007336454922784317,0.22848237,TMEM259,0.007336454922784317,-0.22848237
3505,TIMM10B,0.007345142582068369,0.53253883,TIMM10B,0.007345142582068369,-0.53253883
3506,HBS1L,0.007406215067451301,0.80015624,HBS1L,0.007406215067451301,-0.80015624
3507,SAFB2,0.007423747811045428,0.2266466,SAFB2,0.007423747811045428,-0.2266466
3508,UROD,0.007441317773192388,0.5634615,UROD,0.007441317773192388,-0.5634615
3509,NRBF2,0.007444249723457831,0.33924216,NRBF2,0.007444249723457831,-0.33924216
3510,PCF11,0.007482459472291367,0.09374237,PCF11,0.007482459472291367,-0.09374237
3511,PSPC1,0.0075060604924631225,0.35079414,PSPC1,0.0075060604924631225,-0.35079414
3512,MLLT6,0.0075060604924631225,0.6949574,MLLT6,0.0075060604924631225,-0.6949574
3513,DAP3,0.0075178860167814466,0.28254154,DAP3,0.0075178860167814466,-0.28254154
3514,ABHD10,0.007535655628042746,1.8201447,ABHD10,0.007535655628042746,-1.8201447
3515,C2ORF76,0.007553462889924245,0.82947713,C2ORF76,0.007553462889924245,-0.82947713
3516,ECSIT,0.007610101721849705,0.49912846,ECSIT,0.007610101721849705,-0.49912846
3517,CCDC28A,0.007610101721849705,0.255791,CCDC28A,0.007610101721849705,-0.255791
3518,SP1,0.007637063287921786,2.9169567,SP1,0.007637063287921786,-2.9169567
3519,POM121C,0.007664110445213152,1.131,POM121C,0.007664110445213152,-1.131
3520,TADA2A,0.007673145224909976,2.9006069,TADA2A,0.007673145224909976,-2.9006069
3521,MRPL10,0.00768218954933027,0.3106036,MRPL10,0.00768218954933027,-0.3106036
3522,AAGAB,0.007685206446683878,1.1446002,AAGAB,0.007685206446683878,-1.1446002
3523,FAM46C,0.007703330140022834,2.5445518,FAM46C,0.007703330140022834,-2.5445518
3524,RGS9,0.007703330140022834,1.4069896,RGS9,0.007703330140022834,-1.4069896
3525,NOL11,0.007724522853799192,0.46935144,NOL11,0.007724522853799192,-0.46935144
3526,HECA,0.0077396924797193565,1.4596121,HECA,0.0077396924797193565,-1.4596121
3527,MAD2L1BP,0.0077396924797193565,0.8292647,MAD2L1BP,0.0077396924797193565,-0.8292647
3528,RPAP2,0.007776208553906461,1.200292,RPAP2,0.007776208553906461,-1.200292
3529,FAF2,0.007822070685906178,0.640619,FAF2,0.007822070685906178,-0.640619
3530,SLC35C2,0.007858934705077546,0.45984188,SLC35C2,0.007858934705077546,-0.45984188
3531,HPCAL1,0.007902139369405285,0.8185257,HPCAL1,0.007902139369405285,-0.8185257
3532,NIPA2,0.00790523354222142,0.41315278,NIPA2,0.00790523354222142,-0.41315278
3533,NR2C2AP,0.007942448348987581,2.3748772,NR2C2AP,0.007942448348987581,-2.3748772
3534,EPB41,0.00796111452553021,1.1169014,EPB41,0.00796111452553021,-1.1169014
3535,MRPS35,0.00797358045910273,0.32669157,MRPS35,0.00797358045910273,-0.32669157
3536,SLC25A17,0.007979819978524452,0.9230998,SLC25A17,0.007979819978524452,-0.9230998
3537,FARS2,0.007982941377543087,0.8699173,FARS2,0.007982941377543087,-0.8699173
3538,PLAA,0.007992312135771557,1.1833835,PLAA,0.007992312135771557,-1.1833835
3539,TMEM205,0.007998564778853705,0.72094256,TMEM205,0.007998564778853705,-0.72094256
3540,PICALM,0.008001692742659954,0.69057393,PICALM,0.008001692742659954,-0.69057393
3541,NACA,0.008020483537935164,0.316978,NACA,0.008020483537935164,-0.316978
3542,COQ9,0.008023619175626178,0.7893369,COQ9,0.008023619175626178,-0.7893369
3543,GSK3B,0.008042456062621625,0.63793826,GSK3B,0.008042456062621625,-0.63793826
3544,C14ORF166,0.008055035974181455,0.62287456,C14ORF166,0.008055035974181455,-0.62287456
3545,SPRTN,0.008055035974181455,0.8287725,SPRTN,0.008055035974181455,-0.8287725
3546,TRIM59,0.008055035974181455,1.3110973,TRIM59,0.008055035974181455,-1.3110973
3547,MECP2,0.008115031458664513,0.6295758,MECP2,0.008115031458664513,-0.6295758
3548,BRD3,0.008130886081698391,1.6090274,BRD3,0.008130886081698391,-1.6090274
3549,VTI1A,0.008140412158859717,1.099113,VTI1A,0.008140412158859717,-1.099113
3550,COQ7,0.008165863888179983,0.33353895,COQ7,0.008165863888179983,-0.33353895
3551,LINC01420,0.008175426633622116,0.16469021,LINC01420,0.008175426633622116,-0.16469021
3552,FAM45A,0.008184999400474614,0.54995304,FAM45A,0.008184999400474614,-0.54995304
3553,DERL3,0.008207374879177156,0.83153874,DERL3,0.008207374879177156,-0.83153874
3554,CTNNB1,0.008252290124644308,0.41322467,CTNNB1,0.008252290124644308,-0.41322467
3555,MSL3,0.008281280229472093,0.35456583,MSL3,0.008281280229472093,-0.35456583
3556,MAP3K13,0.008290963827159097,0.45790985,MAP3K13,0.008290963827159097,-0.45790985
3557,ALKBH7,0.008323315696870509,0.19711827,ALKBH7,0.008323315696870509,-0.19711827
3558,IL7R,0.008339533944391709,5.158767,IL7R,0.008339533944391709,-5.158767
3559,TOMM70,0.008349278457208172,2.8956401,TOMM70,0.008349278457208172,-2.8956401
3560,R3HDM2,0.008362286984870244,0.7252453,R3HDM2,0.008362286984870244,-0.7252453
3561,LYRM1,0.00836879804502237,0.14310971,LYRM1,0.00836879804502237,-0.14310971
3562,TMEM165,0.008372055275360711,0.1453116,TMEM165,0.008372055275360711,-0.1453116
3563,CCNB1IP1,0.008381833771479708,0.4042948,CCNB1IP1,0.008381833771479708,-0.4042948
3564,RPAP3,0.00841450258309679,0.24082221,RPAP3,0.00841450258309679,-0.24082221
3565,ITK,0.00842432540915761,4.5871964,ITK,0.00842432540915761,-4.5871964
3566,STIM2,0.00843087965617738,0.25468537,STIM2,0.00843087965617738,-0.25468537
3567,HNRNPA1,0.00844071957796102,0.6208803,HNRNPA1,0.00844071957796102,-0.6208803
3568,PRCC,0.00844071957796102,0.30830064,PRCC,0.00844071957796102,-0.30830064
3569,EIF4G3,0.00844071957796102,0.85422474,EIF4G3,0.00844071957796102,-0.85422474
3570,RPIA,0.008486775148859482,0.19938457,RPIA,0.008486775148859482,-0.19938457
3571,MFSD10,0.008490073415187857,0.3055334,MFSD10,0.008490073415187857,-0.3055334
3572,C8ORF82,0.008509887094758665,1.3424958,C8ORF82,0.008509887094758665,-1.3424958
3573,CCT3,0.008519809430918958,0.4572404,CCT3,0.008519809430918958,-0.4572404
3574,SEC63,0.008556279892173209,0.31423384,SEC63,0.008556279892173209,-0.31423384
3575,SPOUT1,0.008566250575563131,1.3600951,SPOUT1,0.008566250575563131,-1.3600951
3576,SMU1,0.008586223110479635,0.60979056,SMU1,0.008586223110479635,-0.60979056
3577,GRHPR,0.008592889867176493,0.36155313,GRHPR,0.008592889867176493,-0.36155313
3578,PDCD4,0.008599561250976025,0.5293147,PDCD4,0.008599561250976025,-0.5293147
3579,PPCDC,0.008626293112141588,0.9257668,PPCDC,0.008626293112141588,-0.9257668
3580,LAMTOR5,0.0086497443957604,-0.089744985,LAMTOR5,0.0086497443957604,0.089744985
3581,PEX2,0.00865645522093326,0.2805888,PEX2,0.00865645522093326,-0.2805888
3582,OAT,0.008666530184382062,0.58772373,OAT,0.008666530184382062,-0.58772373
3583,MB21D1,0.00867325264783028,0.91328615,MB21D1,0.00867325264783028,-0.91328615
3584,HCCS,0.00870018913063145,0.79035825,HCCS,0.00870018913063145,-0.79035825
3585,RRP1,0.008713685388125223,0.49390155,RRP1,0.008713685388125223,-0.49390155
3586,AHCYL1,0.008727200352521513,0.85143936,AHCYL1,0.008727200352521513,-0.85143936
3587,TBC1D15,0.008754286490664202,0.9522409,TBC1D15,0.008754286490664202,-0.9522409
3588,IFRD2,0.008757677534317252,0.8898723,IFRD2,0.008757677534317252,-0.8898723
3589,RFX5,0.008761069751656575,0.4112665,RFX5,0.008761069751656575,-0.4112665
3590,PTPN22,0.008801868033679657,0.48174825,PTPN22,0.008801868033679657,-0.48174825
3591,COPA,0.00881550513389014,0.40305978,COPA,0.00881550513389014,-0.40305978
3592,ZNF148,0.008822330760187923,0.21857765,ZNF148,0.008822330760187923,-0.21857765
3593,NUP188,0.008835996179107714,1.4721295,NUP188,0.008835996179107714,-1.4721295
3594,SLC4A1AP,0.008856529765153486,0.64743745,SLC4A1AP,0.008856529765153486,-0.64743745
3595,SREBF2,0.008883974184853413,0.7972149,SREBF2,0.008883974184853413,-0.7972149
3596,CNPY3,0.008901165499699758,0.14800943,CNPY3,0.008901165499699758,-0.14800943
3597,RNF115,0.008921834296345863,0.2032533,RNF115,0.008921834296345863,-0.2032533
3598,THAP1,0.008939091027334657,1.1244316,THAP1,0.008939091027334657,-1.1244316
3599,CRNKL1,0.00894945936941695,0.9059372,CRNKL1,0.00894945936941695,-0.9059372
3600,TUBGCP2,0.008959838450710293,0.48544756,TUBGCP2,0.008959838450710293,-0.48544756
3601,TTC7A,0.008966763809155544,1.5829638,TTC7A,0.008966763809155544,-1.5829638
3602,ALKBH6,0.008987568575855196,1.5593377,ALKBH6,0.008987568575855196,-1.5593377
3603,ATRX,0.00899451307126675,0.21036057,ATRX,0.00899451307126675,-0.21036057
3604,IP6K2,0.00899798711552908,0.29422128,IP6K2,0.00899798711552908,-0.29422128
3605,OSTC,0.009008416438773398,0.31587508,OSTC,0.009008416438773398,-0.31587508
3606,PDCD2,0.00901885655511209,0.2834095,PDCD2,0.00901885655511209,-0.2834095
3607,TP53RK,0.00901885655511209,0.64405113,TP53RK,0.00901885655511209,-0.64405113
3608,DNM1L,0.009032793515961432,0.3325962,DNM1L,0.009032793515961432,-0.3325962
3609,LONP1,0.009050241758030434,1.2453874,LONP1,0.009050241758030434,-1.2453874
3610,DVL2,0.009064222012073549,1.6295849,DVL2,0.009064222012073549,-1.6295849
3611,PDCD1,0.009092240377492,26.87938,PDCD1,0.009092240377492,-26.87938
3612,TNIP3,0.009092240377492,26.902637,TNIP3,0.009092240377492,-26.902637
3613,CDV3,0.009130891874266649,0.19898872,CDV3,0.009130891874266649,-0.19898872
3614,KDM1A,0.009130891874266649,0.6608324,KDM1A,0.009130891874266649,-0.6608324
3615,NUDT16,0.009134412909381712,0.8595229,NUDT16,0.009134412909381712,-0.8595229
3616,CHP1,0.00919091454361881,0.68791145,CHP1,0.00919091454361881,-0.68791145
3617,INO80C,0.009205088602685907,0.26067773,INO80C,0.009205088602685907,-0.26067773
3618,COPS2,0.009205088602685907,0.45157045,COPS2,0.009205088602685907,-0.45157045
3619,VMP1,0.009226386271982715,0.14324018,VMP1,0.009226386271982715,-0.14324018
3620,ABHD5,0.009247727906778826,0.93449885,ABHD5,0.009247727906778826,-0.93449885
3621,NRDE2,0.009254851568519979,0.9747958,NRDE2,0.009254851568519979,-0.9747958
3622,ZNF24,0.009294119310247166,0.24471329,ZNF24,0.009294119310247166,-0.24471329
3623,NKIRAS2,0.009347905799437702,1.4300866,NKIRAS2,0.009347905799437702,-1.4300866
3624,NOC2L,0.009423673411803085,0.23997188,NOC2L,0.009423673411803085,-0.23997188
3625,TRPT1,0.009430917866694564,0.41174585,TRPT1,0.009430917866694564,-0.41174585
3626,DCAF16,0.009438167288748573,1.1984172,DCAF16,0.009438167288748573,-1.1984172
3627,VPS16,0.009474489008003132,1.5792325,VPS16,0.009474489008003132,-1.5792325
3628,CHD8,0.009518239594406569,0.86200416,CHD8,0.009518239594406569,-0.86200416
3629,L3MBTL2,0.009543843888528294,1.1690558,L3MBTL2,0.009543843888528294,-1.1690558
3630,AP1B1,0.009543843888528294,0.32751036,AP1B1,0.009543843888528294,-0.32751036
3631,STK16,0.009573181130155348,0.362533,STK16,0.009573181130155348,-0.362533
3632,PEX11B,0.009595236802598125,0.8855151,PEX11B,0.009595236802598125,-0.8855151
3633,TXNDC15,0.009609965742984419,0.31050086,TXNDC15,0.009609965742984419,-0.31050086
3634,SSH2,0.009646876320550847,0.22048606,SSH2,0.009646876320550847,-0.22048606
3635,STAU2,0.009728524795899567,0.84427744,STAU2,0.009728524795899567,-0.84427744
3636,FAM105A,0.009750899195517486,3.8183372,FAM105A,0.009750899195517486,-3.8183372
3637,ESPL1,0.009750899195517486,4.100631,ESPL1,0.009750899195517486,-4.100631
3638,PHTF2,0.009750899195517486,0.3362225,PHTF2,0.009750899195517486,-0.3362225
3639,SLC35B2,0.009769579549940314,1.4247397,SLC35B2,0.009769579549940314,-1.4247397
3640,SPAG9,0.009814542587343187,1.1200217,SPAG9,0.009814542587343187,-1.1200217
3641,RPUSD1,0.009829571192355549,0.8073623,RPUSD1,0.009829571192355549,-0.8073623
3642,YBEY,0.009874780117488312,0.2872326,YBEY,0.009874780117488312,-0.2872326
3643,FOS,0.009912595639893454,0.22810705,FOS,0.009912595639893454,-0.22810705
3644,DBNL,0.00992396542671088,0.40842777,DBNL,0.00992396542671088,-0.40842777
3645,UBXN2A,0.010000061356317353,0.47083798,UBXN2A,0.010000061356317353,-0.47083798
3646,PPP1R15A,0.010011520460233134,0.11980911,PPP1R15A,0.010011520460233134,-0.11980911
3647,CASP3,0.010026817457670771,0.24923377,CASP3,0.010026817457670771,-0.24923377
3648,LNPK,0.0100344737598092,1.0556531,LNPK,0.0100344737598092,-1.0556531
3649,ZNF101,0.010076676564545398,0.4200953,ZNF101,0.010076676564545398,-0.4200953
3650,RING1,0.010146076719223884,0.8387206,RING1,0.010146076719223884,-0.8387206
3651,ANAPC1,0.010153814057231798,2.4061234,ANAPC1,0.010153814057231798,-2.4061234
3652,APEH,0.01019257960317522,0.5129686,APEH,0.01019257960317522,-0.5129686
3653,DDX24,0.010200348504747131,0.26175207,DDX24,0.010200348504747131,-0.26175207
3654,PELP1,0.010215902124529405,1.413005,PELP1,0.010215902124529405,-1.413005
3655,LMO2,0.010215902124529405,-1.0563635,LMO2,0.010215902124529405,1.0563635
3656,GIGYF2,0.010215902124529405,0.23433083,GIGYF2,0.010215902124529405,-0.23433083
3657,UHRF2,0.010227581190875194,0.3917227,UHRF2,0.010227581190875194,-0.3917227
3658,ENDOV,0.010262689735613638,2.6863203,ENDOV,0.010262689735613638,-2.6863203
3659,OST4,0.010301825010288018,0.6458208,OST4,0.010301825010288018,-0.6458208
3660,NUFIP2,0.010301825010288018,0.64768094,NUFIP2,0.010301825010288018,-0.64768094
3661,BAZ2A,0.010317516274062329,0.14410238,BAZ2A,0.010317516274062329,-0.14410238
3662,PITPNB,0.010317516274062329,0.6353005,PITPNB,0.010317516274062329,-0.6353005
3663,PDE4D,0.010317516274062329,2.1521637,PDE4D,0.010317516274062329,-2.1521637
3664,INPP5F,0.010321442412085375,0.79051316,INPP5F,0.010321442412085375,-0.79051316
3665,UBAC1,0.010333228805252441,1.6286182,UBAC1,0.010333228805252441,-1.6286182
3666,DPP8,0.01033716026394705,0.51158047,DPP8,0.01033716026394705,-0.51158047
3667,PLEKHA3,0.010345027175086827,0.6149446,PLEKHA3,0.010345027175086827,-0.6149446
3668,IKBKG,0.010356837531906126,1.3462816,IKBKG,0.010356837531906126,-1.3462816
3669,ABI2,0.010372603338598345,1.1981089,ABI2,0.010372603338598345,-1.1981089
3670,TMEM33,0.010392340627550524,0.75922817,TMEM33,0.010392340627550524,-0.75922817
3671,SFI1,0.010467647451302284,0.5560703,SFI1,0.010467647451302284,-0.5560703
3672,KIAA0040,0.010479582279404818,0.29716656,KIAA0040,0.010479582279404818,-0.29716656
3673,GRWD1,0.010507477302241391,0.76207846,GRWD1,0.010507477302241391,-0.76207846
3674,MED15,0.010515459431649641,1.1206214,MED15,0.010515459431649641,-1.1206214
3675,MLLT10,0.010523446954662261,0.5155939,MLLT10,0.010523446954662261,-0.5155939
3676,CCL3,0.01052744273973495,1.5963784,CCL3,0.01052744273973495,-1.5963784
3677,MARK3,0.010563465581894109,0.14953828,MARK3,0.010563465581894109,-0.14953828
3678,PARVG,0.010567474879941861,0.16298951,PARVG,0.010567474879941861,-0.16298951
3679,UCK1,0.01057148553141357,1.3220761,UCK1,0.01057148553141357,-1.3220761
3680,WDR83,0.010603619512901764,0.45041567,WDR83,0.010603619512901764,-0.45041567
3681,REST,0.010656022539293517,0.15341099,REST,0.010656022539293517,-0.15341099
3682,GDE1,0.010676238790868204,0.48180565,GDE1,0.010676238790868204,-0.48180565
3683,AASDHPPT,0.01072896074292134,0.47145635,AASDHPPT,0.01072896074292134,-0.47145635
3684,SNX14,0.010749299973531856,0.63679534,SNX14,0.010749299973531856,-0.63679534
3685,FAM208A,0.010765596032234892,0.57713795,FAM208A,0.010765596032234892,-0.57713795
3686,SMG9,0.010773752294921873,0.8822187,SMG9,0.010773752294921873,-0.8822187
3687,CCDC47,0.010802342492730817,0.4701069,CCDC47,0.010802342492730817,-0.4701069
3688,LTA4H,0.010826902035707594,0.20845093,LTA4H,0.010826902035707594,-0.20845093
3689,TAF1B,0.01083920040973326,0.53953856,TAF1B,0.01083920040973326,-0.53953856
3690,SERF2,0.010884400752672855,0.31852353,SERF2,0.010884400752672855,-0.31852353
3691,ATP6AP2,0.010905001685963235,0.1303345,ATP6AP2,0.010905001685963235,-0.1303345
3692,PPP4R3B,0.010913251757306128,0.28334987,PPP4R3B,0.010913251757306128,-0.28334987
3693,CASC3,0.01096286877134506,0.8034869,CASC3,0.01096286877134506,-0.8034869
3694,PI4KB,0.010971157734140834,0.4803623,PI4KB,0.010971157734140834,-0.4803623
3695,PTK2B,0.011054354154872712,0.11897348,PTK2B,0.011054354154872712,-0.11897348
3696,CERS2,0.011121314356978312,0.79511124,CERS2,0.011121314356978312,-0.79511124
3697,CHD1L,0.011121314356978312,1.2990273,CHD1L,0.011121314356978312,-1.2990273
3698,KIAA2013,0.011121314356978312,0.7670402,KIAA2013,0.011121314356978312,-0.7670402
3699,RAD51D,0.01118863460334033,2.7824533,RAD51D,0.01118863460334033,-2.7824533
3700,SLC39A8,0.01126904728678557,1.1945013,SLC39A8,0.01126904728678557,-1.1945013
3701,VCPIP1,0.011320098267543504,1.4104809,VCPIP1,0.011320098267543504,-1.4104809
3702,TOR3A,0.011341430042039673,0.17089805,TOR3A,0.011341430042039673,-0.17089805
3703,WWOX,0.011384200684732695,2.4065175,WWOX,0.011384200684732695,-2.4065175
3704,CTBS,0.011388485614361114,0.9772579,CTBS,0.011388485614361114,-0.9772579
3705,EIF2B2,0.011392771975668214,0.47746924,EIF2B2,0.011392771975668214,-0.47746924
3706,TXLNA,0.011422816625736859,1.0211848,TXLNA,0.011422816625736859,-1.0211848
3707,ACP5,0.011427114455011244,0.4537851,ACP5,0.011427114455011244,-0.4537851
3708,MARS,0.011435714419907626,0.7695241,MARS,0.011435714419907626,-0.7695241
3709,C6ORF89,0.011461548794504433,0.67757857,C6ORF89,0.011461548794504433,-0.67757857
3710,PRKCA,0.011496075201348726,1.2892479,PRKCA,0.011496075201348726,-1.2892479
3711,COPS7B,0.011539362995838189,0.6797594,COPS7B,0.011539362995838189,-0.6797594
3712,SLC16A3,0.011539362995838189,1.7972251,SLC16A3,0.011539362995838189,-1.7972251
3713,THOC5,0.011648215934987912,0.9287342,THOC5,0.011648215934987912,-0.9287342
3714,RBFA,0.011652588938715009,1.1291037,RBFA,0.011652588938715009,-1.1291037
3715,ITSN2,0.011665716690265447,-0.49912444,ITSN2,0.011665716690265447,0.49912444
3716,PAN3,0.011722755354516582,0.5452065,PAN3,0.011722755354516582,-0.5452065
3717,UBLCP1,0.011740355413183618,0.64661694,UBLCP1,0.011740355413183618,-0.64661694
3718,USP11,0.01179771758366752,0.33846757,USP11,0.01179771758366752,-0.33846757
3719,COMMD6,0.011833140802656131,0.18298785,COMMD6,0.011833140802656131,-0.18298785
3720,HLA-C,0.01184644880768641,0.5268478,HLA-C,0.01184644880768641,-0.5268478
3721,THEM4,0.011873104641055175,0.36898312,THEM4,0.011873104641055175,-0.36898312
3722,C5ORF34,0.011926575913246593,3.9949625,C5ORF34,0.011926575913246593,-3.9949625
3723,ZFX,0.01194444705818951,0.52597165,ZFX,0.01194444705818951,-0.52597165
3724,POLE2,0.01194444705818951,2.1158266,POLE2,0.01194444705818951,-2.1158266
3725,SWI5,0.011993715185367949,0.53022057,SWI5,0.011993715185367949,-0.53022057
3726,MAP3K7,0.01203415938304838,0.7989447,MAP3K7,0.01203415938304838,-0.7989447
3727,RUSC1,0.012043163383053817,2.49263,RUSC1,0.012043163383053817,-2.49263
3728,GCH1,0.012043163383053817,1.5521703,GCH1,0.012043163383053817,-1.5521703
3729,LAMP2,0.012061189299509448,0.47787252,LAMP2,0.012061189299509448,-0.47787252
3730,CANT1,0.012079239126773125,1.2960056,CANT1,0.012079239126773125,-1.2960056
3731,MRE11A,0.012079239126773125,0.70939994,MRE11A,0.012079239126773125,-0.70939994
3732,CD28,0.012133532340295525,26.79294,CD28,0.012133532340295525,-26.79294
3733,TNFRSF4,0.012133532340295525,27.72546,TNFRSF4,0.012133532340295525,-27.72546
3734,NPDC1,0.012133532340295525,26.506659,NPDC1,0.012133532340295525,-26.506659
3735,OASL,0.012133532340295525,26.745829,OASL,0.012133532340295525,-26.745829
3736,IMPA1,0.012169847859688538,1.0893626,IMPA1,0.012169847859688538,-1.0893626
3737,KTN1,0.012201702915477735,0.4090615,KTN1,0.012201702915477735,-0.4090615
3738,DNASE2,0.012206259663912838,0.87581205,DNASE2,0.012206259663912838,-0.87581205
3739,TBCD,0.012224501739874322,2.8850806,TBCD,0.012224501739874322,-2.8850806
3740,TAOK3,0.012288539376780485,0.16338712,TAOK3,0.012288539376780485,-0.16338712
3741,AIG1,0.012316074932984093,0.91541594,AIG1,0.012316074932984093,-0.91541594
3742,CCDC51,0.012316074932984093,1.1195439,CCDC51,0.012316074932984093,-1.1195439
3743,GCDH,0.012417506843461948,0.43036357,GCDH,0.012417506843461948,-0.43036357
3744,PIK3R1,0.012426764511056468,0.5657094,PIK3R1,0.012426764511056468,-0.5657094
3745,DCAF6,0.012454574200214764,0.38311198,DCAF6,0.012454574200214764,-0.38311198
3746,PLRG1,0.012482438990151645,0.35080117,PLRG1,0.012482438990151645,-0.35080117
3747,SCAF1,0.012501046173578247,2.6282318,SCAF1,0.012501046173578247,-2.6282318
3748,NEAT1,0.012543002164836604,0.3694836,NEAT1,0.012543002164836604,-0.3694836
3749,BCL2A1,0.012599137410173263,-1.4401503,BCL2A1,0.012599137410173263,1.4401503
3750,PDK2,0.012617898522708716,1.8624378,PDK2,0.012617898522708716,-1.8624378
3751,CXCR4,0.01263198558308087,-0.13992274,CXCR4,0.01263198558308087,0.13992274
3752,TCIRG1,0.01265549495782629,0.3003723,TCIRG1,0.01265549495782629,-0.3003723
3753,RP11-1094M14.11,0.012660201477742094,1.3535798,RP11-1094M14.11,0.012660201477742094,-1.3535798
3754,UIMC1,0.012693190522093235,0.6317175,UIMC1,0.012693190522093235,-0.6317175
3755,ZNF672,0.012707351960158092,0.51650643,ZNF672,0.012707351960158092,-0.51650643
3756,THUMPD3,0.012716800686171866,0.75540733,THUMPD3,0.012716800686171866,-0.75540733
3757,FOSB,0.012716800686171866,0.1902964,FOSB,0.012716800686171866,-0.1902964
3758,B9D2,0.012735716795168061,2.3855755,B9D2,0.012735716795168061,-2.3855755
3759,ZMYND8,0.012735716795168061,0.31128225,ZMYND8,0.012735716795168061,-0.31128225
3760,PPP1R15B,0.012792614625199452,1.5684085,PPP1R15B,0.012792614625199452,-1.5684085
3761,MED1,0.012792614625199452,0.77991617,MED1,0.012792614625199452,-0.77991617
3762,IL6ST,0.012797366249466072,3.0638778,IL6ST,0.012797366249466072,-3.0638778
3763,NOC4L,0.012849737287689546,1.0092146,NOC4L,0.012849737287689546,-1.0092146
3764,SDR39U1,0.012916665550530435,0.6150113,SDR39U1,0.012916665550530435,-0.6150113
3765,AIMP2,0.01295504858081589,0.757046,AIMP2,0.01295504858081589,-0.757046
3766,RBM38,0.01296946820954363,0.12319614,RBM38,0.01296946820954363,-0.12319614
3767,PEX16,0.013007989986586208,0.3148596,PEX16,0.013007989986586208,-0.3148596
3768,HLA-DQA2,0.013032117458761308,-0.94935924,HLA-DQA2,0.013032117458761308,0.94935924
3769,IFNAR2,0.013061122667867006,0.7312223,IFNAR2,0.013061122667867006,-0.7312223
3770,TBRG4,0.013080491179548674,0.77794856,TBRG4,0.013080491179548674,-0.77794856
3771,TROVE2,0.013095034228562894,0.16737814,TROVE2,0.013095034228562894,-0.16737814
3772,RP11-138A9.1,0.013187472713320356,0.39434946,RP11-138A9.1,0.013187472713320356,-0.39434946
3773,GINM1,0.013192353839659764,0.24539839,GINM1,0.013192353839659764,-0.24539839
3774,FMC1,0.013236355910133828,0.95257676,FMC1,0.013236355910133828,-0.95257676
3775,HSPBP1,0.013275577739807672,0.5148442,HSPBP1,0.013275577739807672,-0.5148442
3776,LRIF1,0.013275577739807672,0.60252553,LRIF1,0.013275577739807672,-0.60252553
3777,ING4,0.013295227155908602,0.63020647,ING4,0.013295227155908602,-0.63020647
3778,PRMT9,0.013314902276992769,0.1677887,PRMT9,0.013314902276992769,-0.1677887
3779,EIF5,0.013344463217010544,0.4201336,EIF5,0.013344463217010544,-0.4201336
3780,SIGMAR1,0.013354329746666881,2.0945642,SIGMAR1,0.013354329746666881,-2.0945642
3781,SLCO3A1,0.013369141631057128,0.85177207,SLCO3A1,0.013369141631057128,-0.85177207
3782,TMEM9B,0.01337408215159104,0.16147776,TMEM9B,0.01337408215159104,-0.16147776
3783,RAB28,0.013428534472301357,0.87512076,RAB28,0.013428534472301357,-0.87512076
3784,ASB8,0.01344341906810206,0.413595,ASB8,0.01344341906810206,-0.413595
3785,NUDT16L1,0.013478206504682852,0.23934126,NUDT16L1,0.013478206504682852,-0.23934126
3786,EYA3,0.013543022833595236,0.59204334,EYA3,0.013543022833595236,-0.59204334
3787,KPNA6,0.013588056853707845,0.1523553,KPNA6,0.013588056853707845,-0.1523553
3788,CETN2,0.013588056853707845,0.794087,CETN2,0.013588056853707845,-0.794087
3789,INPP4A,0.013603097565253987,2.6600845,INPP4A,0.013603097565253987,-2.6600845
3790,PATL1,0.013613132875410388,1.6232013,PATL1,0.013613132875410388,-1.6232013
3791,TBCA,0.013628198103232226,0.575689,TBCA,0.013628198103232226,-0.575689
3792,CARS,0.013653339546183044,0.635251,CARS,0.013653339546183044,-0.635251
3793,FUCA2,0.013663407589228203,1.4485793,FUCA2,0.013663407589228203,-1.4485793
3794,PIDD1,0.013673482189545168,1.5367202,PIDD1,0.013673482189545168,-1.5367202
3795,TATDN3,0.013673482189545168,0.69618154,TATDN3,0.013673482189545168,-0.69618154
3796,RAB22A,0.013678521949795528,0.25789565,RAB22A,0.013678521949795528,-0.25789565
3797,WRNIP1,0.01369365107626787,1.6157945,WRNIP1,0.01369365107626787,-1.6157945
3798,PCIF1,0.013723953675135592,1.046849,PCIF1,0.013723953675135592,-1.046849
3799,LENG8,0.013729009862036783,0.6792826,LENG8,0.013729009862036783,-0.6792826
3800,SLK,0.013754315482318808,2.4533427,SLK,0.013754315482318808,-2.4533427
3801,ARNT,0.013784736594419096,3.6946387,ARNT,0.013784736594419096,-3.6946387
